school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,NA,17
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,NA,no,yes,NA,no,yes,yes,no,no,4,3,3,2,2,5,NA,11,12,13
GP,F,15,U,GT3,T,4,NA,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12
GP,F,16,U,LE3,T,NA,2,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,NA,1,5,0,16,14,16
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,NA,12,12
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13
GP,F,16,U,GT3,A,2,1,other,NA,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,NA,2,12,13,12
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,NA,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15
GP,M,15,U,NA,T,4,4,teacher,health,reputation,mother,1,NA,0,no,NA,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,NA,4,3,2,1,1,5,0,14,13,14
GP,F,16,U,GT3,T,NA,2,services,other,course,mother,1,2,0,NA,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,NA,4,0,17,16,16
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,NA,0,13,13,10
GP,F,16,U,GT3,T,NA,NA,teacher,health,home,mother,1,3,0,yes,yes,no,NA,yes,yes,yes,no,3,4,NA,2,4,4,0,14,13,13
GP,F,15,U,LE3,NA,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,NA,0,13,12,12
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16
GP,NA,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12
GP,F,16,NA,GT3,T,3,1,services,other,course,mother,1,4,0,NA,NA,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10
NA,F,15,R,LE3,T,2,2,NA,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,NA,1,3,1,3,4,0,11,10,11
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,NA,15,15
GP,NA,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10
NA,NA,15,R,GT3,T,1,NA,other,other,reputation,mother,1,2,0,yes,yes,NA,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11
GP,M,NA,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,NA,yes,no,4,3,3,2,4,5,4,11,11,11
GP,M,15,U,GT3,T,4,3,NA,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,NA,2,3,5,0,11,11,11
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,NA,1,0,12,11,11
GP,F,16,U,GT3,T,2,2,NA,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,NA,13,13
GP,M,17,U,GT3,T,2,1,other,other,NA,mother,2,1,3,yes,yes,no,NA,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10
GP,F,NA,U,GT3,T,3,NA,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,NA,11,11
GP,M,15,U,GT3,T,NA,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,NA,1,3,3,0,11,11,12
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,NA,5,3,2,1,2,5,2,10,9,9
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11
NA,M,15,U,LE3,T,2,2,services,services,home,mother,NA,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13
GP,F,15,U,GT3,T,NA,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,no,no,no,NA,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12
GP,F,16,NA,LE3,T,2,2,at_home,other,NA,mother,NA,2,0,no,yes,no,no,NA,yes,no,no,4,3,4,1,2,2,6,13,11,11
GP,F,15,U,GT3,T,4,2,other,other,NA,mother,1,3,NA,NA,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15
GP,M,NA,U,GT3,T,2,2,services,other,reputation,father,2,2,NA,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10
NA,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,NA,3,3,1,3,4,2,9,11,11
GP,F,NA,U,GT3,T,4,NA,services,other,reputation,NA,1,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,NA,NA,13,13
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12
NA,F,16,NA,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,NA,14,14
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,NA,yes,yes,yes,no,4,3,4,1,1,NA,2,11,12,12
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,yes,yes,yes,NA,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13
GP,NA,16,R,NA,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,NA,4,6,9,11,11
GP,NA,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,NA,4,3,5,1,1,5,0,13,12,12
GP,F,16,U,GT3,T,4,NA,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,NA,13,13
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,NA,5,3,5,1,NA,3,2,12,13,13
NA,NA,NA,U,GT3,T,NA,4,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,NA,12,9,9,8
GP,M,NA,U,NA,T,4,4,services,teacher,other,father,1,3,0,no,yes,NA,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16
NA,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,NA,12,13,12
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,NA,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,16,11,10,10
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,no,NA,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16
GP,F,15,U,GT3,A,3,3,other,NA,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,NA,10
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,no,no,NA,yes,yes,no,5,NA,2,1,1,3,4,10,10,10
GP,NA,NA,U,GT3,T,NA,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,NA,1,8,12,10,11
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,2,NA,15,NA
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,NA,1,4,4,13,14,14
GP,F,16,NA,GT3,T,3,3,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,4,11,11,11
GP,F,16,U,GT3,T,2,NA,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,12,8,NA,10
GP,M,15,U,LE3,NA,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,17,18
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,NA,4,2,NA,1,5,4,10,9,10
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,NA,no,yes,no,yes,NA,yes,yes,no,5,4,4,1,2,5,6,16,14,14
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,NA,1,2,4,16,15,16
GP,M,16,U,NA,T,3,NA,other,NA,home,father,2,1,0,no,no,no,yes,yes,yes,yes,NA,5,4,2,1,1,5,6,14,14,15
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,NA,yes,yes,yes,yes,no,5,2,4,1,4,5,NA,12,11,11
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,NA,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,2,14,13,14
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,NA,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,NA,14,14
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,6,14,13,13
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,14,12,13
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,NA,no,yes,yes,yes,yes,no,3,4,4,1,4,5,4,12,13,13
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,NA,yes,yes,yes,5,4,4,1,1,5,0,12,11,11
GP,M,15,U,NA,T,3,NA,services,services,home,father,1,1,0,yes,no,no,NA,yes,yes,yes,no,5,5,5,3,2,5,2,9,9,9
GP,F,15,U,LE3,NA,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,NA,1,0,10,11,11
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,2,NA,yes,no,no,no,no,no,no,3,4,2,1,1,5,0,9,10,11
GP,M,16,R,NA,T,4,4,NA,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,NA,5,5,NA,5,4,8,14,14,15
GP,M,16,U,GT3,T,2,3,NA,other,NA,mother,2,3,0,no,NA,no,no,no,yes,yes,yes,3,2,3,2,2,1,4,NA,12,13
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,NA,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,NA,0,10,11,12
GP,F,18,U,GT3,T,2,1,services,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,NA,5,4,5,1,3,5,10,10,9,8
GP,F,17,U,LE3,A,NA,1,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,2,5,8,11,10,11
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,NA,4,3,3,1,2,4,6,11,12,13
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,NA,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,2,13,12,12
GP,F,16,U,NA,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,NA,4,5,12,15,13,14
GP,M,16,U,GT3,T,2,1,at_home,other,course,mother,4,1,0,no,no,NA,no,yes,yes,no,no,3,2,1,1,1,NA,4,NA,9,11
GP,F,16,U,GT3,A,2,2,other,other,home,mother,1,1,1,no,no,no,no,yes,yes,NA,no,5,3,4,1,1,5,12,13,11,11
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,2,12,11,11
GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,no,yes,NA,yes,yes,yes,yes,yes,4,3,3,1,1,5,4,13,14,15
GP,M,17,R,GT3,T,3,4,at_home,other,course,NA,3,2,NA,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,2,10,9,10
GP,F,16,NA,GT3,T,1,1,at_home,other,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,1,3,0,14,13,13
GP,M,18,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,NA,3,3,4,4,5,4,2,11,11,12
GP,F,18,U,GT3,A,3,2,other,services,course,other,1,3,0,NA,yes,no,yes,NA,yes,yes,yes,4,NA,3,5,1,5,10,12,11,11
GP,F,16,R,GT3,T,1,1,other,services,reputation,mother,2,1,0,no,NA,no,yes,yes,yes,no,yes,3,3,3,1,2,1,8,12,11,11
GP,NA,16,U,GT3,A,3,3,other,other,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,NA,2,NA,1,5,4,9,9,10
GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,NA,2,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,10,10,10
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,6,13,14,14
NA,F,15,R,GT3,T,1,1,other,other,course,mother,3,NA,1,no,no,no,yes,yes,yes,yes,yes,5,5,5,1,1,1,2,8,9,9
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,yes,yes,no,NA,yes,yes,yes,no,2,2,2,1,1,3,6,9,11,11
GP,F,15,U,GT3,A,3,3,services,services,home,mother,1,2,0,no,no,no,no,no,yes,no,yes,1,3,2,2,3,NA,24,9,8,9
GP,M,NA,U,GT3,T,4,4,services,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,NA,no,5,3,3,1,3,5,0,15,13,13
GP,M,16,U,LE3,T,2,2,NA,services,reputation,father,2,1,0,no,yes,no,yes,yes,yes,yes,NA,2,3,3,2,2,2,4,12,11,11
GP,F,15,NA,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,NA,5,2,13,13,13
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,NA,yes,yes,yes,no,NA,4,4,3,3,1,4,10,11,11
NA,M,NA,U,GT3,T,2,1,NA,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,22,9,7,NA
GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,NA,4,2,1,2,5,0,12,12,12
GP,F,15,U,NA,A,2,1,at_home,other,home,mother,2,NA,0,no,yes,NA,yes,yes,no,yes,yes,4,4,2,1,1,5,0,11,10,10
GP,F,NA,U,GT3,T,3,2,health,services,home,father,1,2,1,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,2,11,11,11
GP,F,NA,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,5,6,13,12,13
GP,F,15,U,GT3,T,1,2,at_home,services,course,father,1,2,0,no,no,no,no,no,yes,no,yes,2,3,4,2,4,1,6,11,11,11
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,16,9,9,8
GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,0,no,no,no,no,yes,yes,yes,no,4,NA,5,2,5,5,0,12,11,NA
GP,M,18,U,LE3,NA,1,1,other,other,course,mother,1,1,2,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0,11,9,0
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,NA,6,NA,10,10
GP,F,NA,R,GT3,T,NA,3,services,services,reputation,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,NA,2,13,13,13
GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,NA,1,0,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,6,11,9,11
GP,F,17,U,GT3,T,4,NA,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,13,13,13
GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,0,7,8,8
GP,M,17,NA,LE3,T,1,2,other,other,reputation,mother,1,1,3,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,14,9,8,10
GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,11,NA,11
GP,M,16,R,GT3,T,2,2,NA,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,4,12,10,11
GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,1,no,yes,no,no,yes,yes,yes,yes,4,5,5,4,4,5,0,10,10,1
GP,M,16,U,LE3,T,1,2,health,services,course,mother,2,1,2,no,no,NA,no,no,yes,yes,no,4,4,5,3,5,5,0,9,8,10
GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,1,no,no,NA,yes,yes,no,yes,yes,3,NA,2,2,2,5,8,8,8,9
GP,M,17,R,GT3,T,3,2,other,other,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,4,NA,6,8
GP,NA,15,U,LE3,T,1,2,other,other,course,mother,2,1,0,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,2,8,9,10
GP,M,16,U,GT3,T,1,3,at_home,services,course,father,1,1,1,no,no,no,NA,yes,no,yes,no,5,3,NA,1,4,2,2,9,8,8
GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,0,no,no,no,yes,NA,no,no,yes,5,3,5,1,5,5,0,8,8,8
